effect:harkons-bite	Close match	effect:bark-like-skin	jb2a.shimmer.01.orange	psfx.impacts.magicaleffects.necrotic	Harkon's Bite: the bitten start to change.
effect:influence-over-lord-soth	Close match	effect:dominated	jb2a.markers.runes.dark_black.03	psfx.impacts.magicaleffects.necrotic	Charm of the Black Rose: Soth listens, for now.
effect:mark-of-sacrifice-removed	No proposed FX				A mark lifted — the absence is the point.
feature:charm-of-the-black-rose	Close match	effect:dominated	jb2a.markers.runes.dark_black.03	psfx.impacts.magicaleffects.necrotic	Charm of the Black Rose: the rose is spent.
feature:mark-of-beasts	Close match	effect:banished	jb2a.condition.curse.01.001.green	psfx.impacts.magicaleffects.necrotic	Mark of Beasts: the dark powers set their sign.
feature:mark-of-obsession	Close match	effect:charmed	jb2a.condition.curse.01.001.purple	psfx.impacts.magicaleffects.psychic	Mark of Obsession: the dark powers set their sign.
feature:mark-of-sacrifice	Close match	effect:banished	jb2a.condition.curse.01.001.red	psfx.impacts.magicaleffects.necrotic	Mark of Sacrifice: the dark powers set their sign.
feature:mark-of-the-dread-lord	Close match	effect:banished	jb2a.condition.curse.01.001.blue	psfx.impacts.magicaleffects.necrotic	Mark of the Dread Lord: the dark powers set their sign.
item:animated-digits	No proposed FX				A Mist Talisman: a trinket with no rules of its own — all fifty-odd read the same.
item:ashes-of-a-corpse	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:barovian-wine-bottle	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:black-rose	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:blood-faction-gear	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:bloodstained-farm-implement	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:broken-holy-symbol	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:broken-jewelry	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:burnt-armor	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:canopic-jar	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:coin-from-darkon	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:death-mask	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:displacer-beast-skin	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:dram-of-sweet-smelling-poison	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:dried-crown-of-white-camellias	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:eye-of-hazlik-amulet	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:faded-love-letter	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:family-portrait	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:feathered-mask	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:flame-singed-love-letter	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:glass-shoe	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:glowing-minerals	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:gold-shoe	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:great-cthulhu-effigy	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:gremishka-foot	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:handbill	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:harkons-bite	Close match	effect:bark-like-skin	jb2a.shimmer.01.orange	psfx.impacts.magicaleffects.necrotic	Harkon's Bite: the bitten start to change.
item:jeweled-mask	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:lapis-lazuli-scarab	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:letter-from-leka	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:mark-of-the-raven-talisman	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:poisonous-flower-blossom	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:polished-skull	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:preserved-humanoid-limb	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:red-robe-scrap	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:religious-relic	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:rusted-tulwar	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:rusty-foot-trap	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:sahuagin-tooth-fishing-lure	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:scrap-of-black-fabric	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:scroll-of-hieroglyphics	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:spell-scroll-protection-from-evil-and-good	No proposed FX				A scroll. The spell it casts is that spell's own FX.
item:starmetal-amulet	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:starmetal-rod	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:straw-doll	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:symbol-of-the-circle	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:tainted-spring-water	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:tarnished-signet-ring	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:three-thorns	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:unbreakable-heart	No proposed FX				A trinket with no rules of its own.
item:von-zarovich-crest	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:wolfs-tooth-necklace	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:woodcut-of-hunting-wolves	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:worn-fine-clothing	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:wyvern-and-lotus-shield	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
item:zombie-flesh	No proposed FX				A Mist Talisman: a trinket with no rules of its own.
weapon:ebonbane	Close match	weapon:longsword	jb2a.sword.melee.fire.black	psfx.weapon-swooshes.necrotic.v1.group01	Ebonbane: the longsword swing in black.
natural:barb	Close match	natural:sting	jb2a.melee_generic.piercing.one_handed	psfx.impacts.slashing.v1	The nightgaunt's barb goes in.
natural:bite-dire-wolf-or-hybrid-form-only	Close match	natural:bite	jb2a.bite.400px.purple	psfx.impacts.magicaleffects.necrotic	Harkon's bite, in wolf shape.
natural:bite-individual-form-only	Close match	natural:bite	jb2a.bite.200px.blue	psfx.impacts.magicaleffects.generic.002.001	The gremishka bites.
natural:brain-rending-bite	Close match	natural:bite	jb2a.bite.400px.purple	psfx.impacts.magicaleffects.psychic	The death's head bites, and the mind goes.
natural:coagulated-nodule	Close match	natural:slam	jb2a.impact.004.dark_purple	psfx.impacts.bludgeoning.v1	The emissary's nodule lands.
natural:crushing-stone	Close match	natural:slam	jb2a.impact.004.orange	psfx.impacts.bludgeoning.v1	The juggernaut brings the stone down.
natural:dreadful-swipe	Close match	natural:claws	jb2a.claws.400px.bright_green	psfx.impacts.magicaleffects.necrotic	The reanimated companion rakes.
natural:fiery-skull	Close match	natural:slam	jb2a.impact.fire.01.orange	psfx.casting.fire.001	The dullahan throws its burning head.
