weapon:adamantine-weapon	Family match	weapon:longsword	jb2a.glint.yellow.few	psfx.impacts.slashing.v1	Any weapon, so nothing swings on its own: a brief hard glint on the wielder as the adamantine bites.
weapon:axe-of-the-dwarvish-lords	Close match	weapon:greataxe	jb2a.greataxe.melee.fire.orange	psfx.weapon-swooshes.fire.v1.group01	The battleaxe swing in forge-fire orange, for the artifact of the dwarven forges.
weapon:ballista	Close match	weapon:heavycrossbow	jb2a.arrow.physical.white.01	psfx.ranged-weapons.longbow.v1	A siege bolt: the crossbow shot, at siege scale.
weapon:blackrazor	Close match	weapon:greatsword	jb2a.greatsword.melee.fire.black	psfx.weapon-swooshes.necrotic.v1.group01	The greatsword swing wreathed in black — the soul-drinking blade.
weapon:cannon	Close match	weapon:antimatter-rifle	jb2a.bullet.01	psfx.ranged-weapons.guns.single-fire.musket	A cannonball fired, with the powder report.
weapon:dagger-of-venom	Close match	weapon:dagger	jb2a.dagger.melee.fire.green	psfx.weapon-attacks.sword.v1	The dagger strike with a green venom sheen on the blade.
weapon:defender	Family match	weapon:longsword	jb2a.glint.blue.few	psfx.weapon-attacks.sword.v1	Any melee weapon: a cool blue glint as the blade turns to guard.
weapon:dragon-slayer	Family match	weapon:longsword	jb2a.sword.melee.fire.orange	psfx.weapon-swooshes.fire.v1.group01	Any weapon: the blade flares dragon-fire orange on the swing.
weapon:dwarven-thrower	Close match	weapon:warhammer	jb2a.melee_attack.02.warhammer.01	psfx.impacts.bludgeoning.v1	The warhammer strike; thrown, the hammer returns.
weapon:enspelled-weapon	Family match	weapon:longsword	jb2a.magic_signs.rune.02.complete.01.blue	psfx.magic-signs.rune.v1.evocation.intro	A bound spell shows as a rune at the wielder, not as a swing.
weapon:flame-tongue	Close match	weapon:longsword	jb2a.sword.melee.fire.red	psfx.weapon-swooshes.fire.v1.group01	The longsword swing with the blade alight — the flame tongue.
weapon:flamethrower-coach	Close match	spell:burning-hands	jb2a.breath_weapons.fire	psfx.creature.dragons.attacks.breath.large.fire	A gout of fire down a 60-foot line.
weapon:frost-brand	Close match	weapon:longsword	jb2a.sword.melee.fire.blue	psfx.weapon-swooshes.cold.v1.group01	The longsword swing in rime-blue — the frost brand.
weapon:giant-slayer	Family match	weapon:longsword	jb2a.glint.yellow.many	psfx.impacts.bludgeoning.v1	Any weapon: a bright glint on the swing, the giant-bane bite.
weapon:hammer-of-thunderbolts	Close match	weapon:maul	jb2a.melee_attack.03.maul.01	psfx.weapon-swooshes.lightning.v1.group01	The maul strike, and thunder on the hit.
weapon:holy-avenger	Family match	weapon:longsword	jb2a.sword.melee.fire.yellow	psfx.class-features.divine-smite.v1.001.caster	Any weapon in a paladin's hand: the blade burns holy gold.
weapon:javelin-of-lightning	Close match	weapon:javelin	jb2a.javelin.throw	psfx.weapon-swooshes.lightning.v1.group01	The javelin thrown, and a lightning line where it lands.
weapon:keg-launcher	Close match	weapon:grenade-launcher	jb2a.barrel.toss	psfx.ranged-weapons.guns.single-fire.musket	A keg lobbed and burst into a toxic cloud.
weapon:lightning-cannon	Close match	weapon:laser-rifle	jb2a.lightning_ball	psfx.weapon-swooshes.lightning.v1.group01	A ball of lightning fired down the range.
weapon:lute-of-thunderous-thumping	Close match	weapon:club	jb2a.melee_attack.02.club.01	psfx.musical-instruments.lute.01.strummed-tremolo.keyOfA.A6	The club strike with a thunderous chord struck on the hit.
weapon:mace-of-disruption	Close match	weapon:mace	jb2a.melee_attack.02.mace.01	psfx.class-features.divine-smite.v1.001.target	The mace strike with a radiant burst on the hit.
weapon:mace-of-smiting	Close match	weapon:mace	jb2a.melee_attack.02.mace.01	psfx.impacts.bludgeoning.v1	The mace strike, harder — the smiting mace.
weapon:mace-of-terror	Close match	weapon:mace	jb2a.melee_attack.02.mace.01	psfx.impacts.magicaleffects.psychic	The mace strike; the terror is a fear mark on those who fail, not on the swing.
weapon:mangonel	Close match	weapon:heavycrossbow	jb2a.boulder.toss	psfx.impacts.bludgeoning.v1	A stone lobbed in a high arc.
weapon:moonblade	Close match	weapon:longsword	jb2a.sword.melee.fire.white	psfx.weapon-swooshes.light.v1.group01	The longsword swing in cold moon-white.
weapon:nine-lives-stealer	Family match	weapon:longsword	jb2a.sword.melee.fire.green	psfx.weapon-swooshes.necrotic.v1.group01	Any weapon: a sickly green edge as it hunts for a life.
weapon:oathbow	Close match	weapon:longbow	jb2a.arrow.physical.white.01	psfx.ranged-weapons.longbow.v1	The longbow shot, sworn to the target.
weapon:quarterstaff-of-the-acrobat	Close match	weapon:quarterstaff	jb2a.quarterstaff.melee.02.white	psfx.impacts.bludgeoning.v1	The quarterstaff strike.
weapon:rod-of-lordly-might	Close match	weapon:mace	jb2a.melee_attack.02.mace.01	psfx.impacts.bludgeoning.v1	The mace strike; the rod's other forms are their own FX if you want them.
weapon:scimitar-of-speed	Close match	weapon:scimitar	jb2a.melee_attack.04.scimitar.01	psfx.weapon-attacks.sword.v1	The scimitar cut, fast.
weapon:siege-tower	No proposed FX				A structure that rolls, not a weapon that swings — nothing to play.
weapon:silvered-weapon	Family match	weapon:longsword	jb2a.glint.blue.few	psfx.impacts.slashing.v1	Any weapon: a cold silver glint on the swing.
weapon:staff-of-adornment	No proposed FX				A staff that floats a trinket above its tip; there is no moment at the table to play.
weapon:staff-of-birdcalls	Close match	weapon:quarterstaff	jb2a.swirling_feathers.outburst	psfx.impacts.bludgeoning.v1	The quarterstaff strike; the birdcall is a burst of feathers at the staff.
weapon:staff-of-charming	Close match	weapon:quarterstaff	jb2a.markers.heart.pink.03	psfx.magic-signs.rune.v1.enchantment.intro	The charm read as hearts at the target, not as a staff swing.
weapon:staff-of-fire	Close match	weapon:quarterstaff	jb2a.fire_jet.orange	psfx.casting.fire.001	The staff casts fire — a jet from the staff's head.
weapon:staff-of-flowers	Close match	weapon:quarterstaff	jb2a.swirling_leaves.outburst.01.greenorange	psfx.casting.earth.001	A flower conjured at the staff's tip, in a burst of leaves.
weapon:staff-of-frost	Close match	weapon:quarterstaff	jb2a.cone_of_cold	psfx.5th-level-spells.cone-of-cold.v1.001	The staff casts cold — a cone of frost from its head.
weapon:staff-of-healing	Close match	weapon:quarterstaff	jb2a.healing_generic.400px.yellow	psfx.1st-level-spells.cure-wounds.v1.001	Healing light at the target the staff touches.
weapon:staff-of-power	Close match	weapon:quarterstaff	jb2a.magic_signs.rune.02.complete.01.purple	psfx.casting.generic-v2.001.01	A rune of power at the staff before its spell.
weapon:staff-of-striking	Close match	weapon:quarterstaff	jb2a.quarterstaff.melee.02.white	psfx.impacts.magicaleffects.generic.002.001	The quarterstaff strike with a force impact on the hit.
weapon:staff-of-swarming-insects	Close match	weapon:quarterstaff	jb2a.markers.poison.dark_green.03	psfx.cantrips.poison-spray.v1	A cloud of insects at the target.
weapon:staff-of-the-adder	Close match	weapon:quarterstaff	jb2a.impact_themed.poison.greenyellow	psfx.cantrips.poison-spray.v1	The adder's head bites — a poison impact at the target.
weapon:staff-of-the-magi	Close match	weapon:quarterstaff	jb2a.magic_signs.rune.02.complete.01.blue	psfx.casting.generic-v2.002.01	The archmage's rune at the staff before its spell.
