effect:acid-shielding	Close match	effect:acid-protection	jb2a.shield.01.loop.green	psfx.magic-signs.rune.v1.abjuration.outro	Elemental Shielding, acid: the shield in green — all five elements read as the protections.
effect:acid-sphere	Close match	spell:magic-missile	jb2a.ioun_stones.01.green.mastery	psfx.cantrips.acid-splash.v1	Orbiting Spheres, acid: a green sphere circles the caster.
effect:acid-suffusion--flight	Close match	effect:flight	jb2a.liquid.splash.bright_green	psfx.cantrips.acid-splash.v1	Elemental Suffusion, acid: the caster becomes the element and flies.
effect:adv-next-attack	Close match	effect:outlined	jb2a.markers.light.complete.yellow	psfx.magic-signs.rune.v1.divination.intro	The next attack is guided.
effect:bane-psychic-resistance	Close match	effect:acid-protection	jb2a.shield.01.loop.purple	psfx.magic-signs.rune.v1.abjuration.outro	Bane's gift: resistance to psychic.
effect:bhaal-poison-resistance	Close match	effect:poison-protection	jb2a.shield.01.loop.green	psfx.magic-signs.rune.v1.abjuration.outro	Bhaal's gift: resistance to poison.
effect:bladesong	Close match	effect:hasted	jb2a.token_border.circle.static.blue.004	psfx.musical-instruments.violin.01.sforzando.keyOfA.A6	Bladesong: the elf's blade sings.
effect:blessed-by-moonlight	Close match	effect:blessed	jb2a.markers.light.complete.blue	psfx.2nd-level-spells.moonbeam.intro.v1.001	Blessed by Moonlight: cold light on the blessed.
effect:blessing-of-moonlight	Close match	effect:blessed	jb2a.markers.light.complete.blue	psfx.2nd-level-spells.moonbeam.intro.v1.001	Blessing of Moonlight: cold light on the blessed.
effect:bolstered	Close match	effect:courageous	jb2a.condition.boon.01.001.yellow	psfx.conditions.boon.001.01	Bolstered: a boon mark.
effect:cold-shielding	Close match	effect:cold-protection	jb2a.shield.01.loop.blue	psfx.magic-signs.rune.v1.abjuration.outro	Elemental Shielding, cold: the shield in blue.
effect:cold-sphere	Close match	spell:magic-missile	jb2a.ioun_stones.01.blue.awareness	psfx.impacts.magicaleffects.cold	Orbiting Spheres, cold: a blue sphere circles the caster.
effect:cold-suffusion--flight	Close match	effect:flight	jb2a.impact.frost.blue.01	psfx.impacts.magicaleffects.cold	Elemental Suffusion, cold: the caster becomes the element and flies.
effect:crown-of-spellfire	Close match	effect:shining	jb2a.markers.light.complete.yellow	psfx.class-features.divine-smite.v1.001.caster	Crown of Spellfire: the spellfire crowns its wielder.
effect:crushed-grappled--restrained	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.red	psfx.impacts.bludgeoning.v1	Crushed: the target is held and squeezed.
effect:damage-immunity-bloodied	Close match	effect:acid-protection	jb2a.markers.shield_rampart.loop.01.dark_red	psfx.magic-signs.rune.v1.abjuration.outro	Bloodied and immune: the rampart shield in red.
effect:damage-resistance-bloodied	Close match	effect:acid-protection	jb2a.markers.shield_rampart.loop.01.dark_red	psfx.magic-signs.rune.v1.abjuration.outro	Bloodied and resistant: the rampart shield in red.
effect:daylight-presence	Close match	effect:shining	jb2a.markers.light.complete.yellow	psfx.cantrips.light.v1.001	Daylight Presence: the sun comes with them.
effect:death-armor	Close match	effect:burning	jb2a.markers.runes.dark_black.03	psfx.impacts.magicaleffects.necrotic	Death Armor: what touches the caster rots.
effect:dirge-of-healing	Close match	effect:carrying-message	jb2a.markers.music.dark_red	psfx.musical-instruments.violin.01.sforzando.keyOfA.Am6	The dirge: no healing while it plays.
effect:dirge-of-speed	Close match	effect:slowed	jb2a.markers.music.dark_red	psfx.musical-instruments.violin.01.sforzando.keyOfA.Am6	The dirge: the target slows while it plays.
effect:disoriented	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.impacts.magicaleffects.generic.002.001	Disoriented: the target loses its bearings.
effect:divine-foreknowledge	Close match	effect:foresight	jb2a.eyes.01.dark_yellow.single	psfx.magic-signs.rune.v1.divination.intro	Divine Foreknowledge: it knows what is coming.
effect:doomed	Close match	effect:banished	jb2a.condition.curse.01.001.purple	psfx.impacts.magicaleffects.psychic	Doomed: the mark of a bad end.
effect:fire-shielding	Close match	effect:fire-protection	jb2a.shield.01.loop.red	psfx.magic-signs.rune.v1.abjuration.outro	Elemental Shielding, fire: the shield in red.
