effect:0-ft-speed	Close match	effect:reduced-movement	jb2a.markers.snowflake.blue.03	psfx.impacts.magicaleffects.cold	Frozen in place: the snowflake mark.
effect:1-2-speed	Close match	effect:reduced-movement	jb2a.token_border.circle.static.orange.004	psfx.impacts.magicaleffects.fire	Scorching Sands: the target is slowed.
effect:1-2-speed--action-restrictions	Close match	effect:reduced-movement	jb2a.token_border.circle.static.blue.004	psfx.impacts.magicaleffects.cold	Slowing Breath: the target is slowed and limited.
effect:1-charmed	Close match	effect:charmed	jb2a.markers.heart.pink.03	psfx.impacts.magicaleffects.necrotic	Chaos Blade: the target is charmed — one of four faces the blade turns up.
effect:2-ac	No proposed FX				A bonus to AC — no moment to play.
effect:2-frightened	Close match	effect:frightened	jb2a.markers.fear.dark_purple.03	psfx.impacts.magicaleffects.necrotic	Chaos Blade: the target is frightened.
effect:3-ac	No proposed FX				A bonus to AC — no moment to play.
effect:3-poisoned	Close match	effect:lingering-acid	jb2a.markers.poison.dark_green.03	psfx.impacts.magicaleffects.necrotic	Chaos Blade: the target is poisoned.
effect:4-incapacitated	Close match	effect:stunned	jb2a.markers.stun.dark_teal.03	psfx.impacts.magicaleffects.necrotic	Chaos Blade: the target is incapacitated.
effect:acid-absorption	Close match	effect:acid-protection	jb2a.shield.01.loop.green	psfx.magic-signs.rune.v1.abjuration.outro	Acid Absorption: the acid is drunk instead of felt.
effect:adv-attacks--saves	Close match	effect:courageous	jb2a.condition.boon.01.001.green	psfx.impacts.magicaleffects.necrotic	Marshal Undead: the dead are steadied.
effect:aiming-attack-advantage	Close match	effect:outlined	jb2a.markers.light.complete.red	psfx.magic-signs.rune.v1.divination.intro	Aim: the shot is lined up.
effect:animate-trees	Close match	spell:conjure-animals	jb2a.plant_growth.03.round.4x4.complete.greenyellow	psfx.casting.earth.001	Animate Trees: the trees stand up.
effect:apply-hide-action-to-target	Close match	spell:invisibility	jb2a.shimmer.01.green	psfx.magic-signs.rune.v1.illusion.intro	Nimble Escape: the goblin is gone.
effect:attached-blinded	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.slashing.v1	Attached: the thing is on the target's face.
effect:attack-advantage	Close match	effect:courageous	jb2a.condition.boon.01.001.red	psfx.conditions.boon.001.01	War Cry: the pack takes heart.
effect:attacks-disadvantage	Close match	effect:searing-radiance	jb2a.markers.light.complete.yellow	psfx.class-features.divine-smite.v1.001.target	Flash of Light: the target cannot see straight.
effect:averse	Close match	effect:frightened	jb2a.markers.fear.orange.03	psfx.casting.fire.001	Aversion to Fire: the creature shies away.
effect:banished-incapacitated	Close match	effect:banished	jb2a.magic_signs.circle.02.abjuration.complete.purple	psfx.magic-signs.circle.v1.abjuration.complete	Banish: the target is put out of the world.
effect:beast-of-burden	No proposed FX				A carrying capacity — no moment to play.
effect:bewildered	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.impacts.magicaleffects.psychic	Lordly Presence: the target is bewildered.
effect:blinded--deafened	Close match	effect:searing-radiance	jb2a.markers.light.complete.yellow	psfx.weapon-swooshes.lightning.v1.group01	Thunderbolt: blinded and deafened.
effect:blinded--poisoned	Close match	effect:lingering-acid	jb2a.fog_cloud.02.green	psfx.cantrips.poison-spray.v1	Toxic Ink: blinded and poisoned.
effect:blinded--suffocating	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.bludgeoning.v1	Crush: the target cannot see or breathe.
effect:blinded-heavily-obscured	Close match	spell:darkness	jb2a.darkness.black	psfx.casting.water.001	Ink Cloud: everything goes dark.
effect:blinded-restrained-and-total-cover	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.magicaleffects.generic.002.001	Swallowed: the target is inside.
effect:bolstered-test-advantage	Close match	effect:courageous	jb2a.condition.boon.01.001.yellow	psfx.conditions.boon.001.01	Bolster: temporary hit points and a steadier hand.
effect:charmed--frightened	Close match	effect:courageous	jb2a.condition.boon.01.001.yellow	psfx.conditions.boon.001.01	Aura of Bravery: nothing here can charm or frighten.
effect:charmed--incapacitated	Close match	effect:charmed	jb2a.markers.heart.pink.03	psfx.magic-signs.rune.v1.enchantment.intro	Captivated: the target cannot look away.
effect:clinging-flames-burning	Close match	effect:burning	jb2a.markers.runes.red.03	psfx.casting.fire.001	Cataclysm, the fire: the target burns.
effect:clouded	Close match	effect:lingering-acid	jb2a.fog_cloud.02.green	psfx.cantrips.poison-spray.v1	Cloud of Insects: the swarm is on the target.
effect:concentrating	No proposed FX				Concentration held — no moment to play.
effect:cursed	Close match	effect:banished	jb2a.condition.curse.01.001.purple	psfx.magic-signs.rune.v1.necromancy.intro	Curse of the Riddle: the curse sits on the target.
effect:cursed-disadv-checks--saves	Close match	effect:banished	jb2a.condition.curse.01.001.green	psfx.magic-signs.rune.v1.necromancy.intro	Spiteful Escape: the parting curse.
effect:cursed-no-reaction	Close match	effect:heated-metal	jb2a.static_electricity.01.blue	psfx.weapon-swooshes.lightning.v1.group01	Crackling Wave: the target cannot react.
effect:damaged-1-ac	Close match	effect:lingering-acid	jb2a.markers.shield_cracked.dark_red.03	psfx.cantrips.acid-splash.v1	Dissolving Pseudopod: the armour is eaten away.
effect:damaged-1-ac-attack	Close match	effect:lingering-acid	jb2a.markers.shield_cracked.dark_red.03	psfx.cantrips.acid-splash.v1	Antennae: the armour is damaged.
effect:damaged-1-attack	Close match	effect:lingering-acid	jb2a.markers.shield_cracked.dark_red.03	psfx.cantrips.acid-splash.v1	Corrosive Form: what touches it corrodes.
effect:damaged-2-ac	Close match	effect:lingering-acid	jb2a.markers.shield_cracked.dark_red.03	psfx.cantrips.poison-spray.v1	Noxious Miasma: the armour is eaten away.
