feature:exalted-restoration	No proposed FX				A passive trait — no moment to play.
feature:eye-rays	Close match	spell:guiding-bolt	jb2a.energy_beam.normal.blue.01.30ft	psfx.impacts.magicaleffects.psychic	Eye Rays: a beam from each eye.
feature:fear-aura	Close match	effect:frightened	jb2a.template_circle.aura.01.loop.large.orangepurple	psfx.impacts.magicaleffects.psychic	Fear Aura: dread hangs around it.
feature:fear-of-fire	No proposed FX				A passive trait — no moment to play.
feature:fearful	No proposed FX				A passive trait — no moment to play.
feature:feral-strike	Close match	natural:claws	jb2a.claws.400px.red	psfx.impacts.slashing.v1	Feral Strike: it goes in with everything.
feature:fetid-aura	Close match	effect:lingering-acid	jb2a.template_circle.aura.01.loop.large.green	psfx.cantrips.poison-spray.v1	Fetid Aura: the stink reaches everyone near.
feature:fey-melody	Close match	effect:charmed	jb2a.soundwave.01.orangepurple	psfx.musical-instruments.flute.01.long.keyOfA.A6	Fey Melody: the song reaches everyone near.
feature:fiendish-aid	Close match	spell:conjure-animals	jb2a.magic_signs.circle.02.conjuration.complete.dark_red	psfx.magic-signs.circle.v1.conjuration.complete	Fiendish Aid: something answers.
feature:fiendish-guile	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Fiendish Guile: it is not where it says.
feature:fiendish-restoration	No proposed FX				A passive trait — no moment to play.
feature:fiery-rays	Close match	spell:guiding-bolt	jb2a.scorching_ray.01.orange	psfx.casting.fire.001	Fiery Rays: rays of fire.
feature:fire-absorption	Close match	effect:fire-protection	jb2a.shield.01.loop.red	psfx.magic-signs.rune.v1.abjuration.outro	Fire Absorption: the fire is drunk instead of felt.
feature:fire-form	Close match	effect:burning	jb2a.markers.runes.red.03	psfx.casting.fire.001	Fire Form: what touches it burns.
feature:first-roar	Close match	effect:frightened	jb2a.soundwave.01.red	psfx.creature.dragons.roar.large	The first roar: everyone near hears it.
feature:flame-aura	Close match	effect:burning	jb2a.fire_ring.500px.red	psfx.casting.fire.001	Flame Aura: fire hangs around it.
feature:fling	Close match	spell:shatter	jb2a.impact.004.orange	psfx.impacts.bludgeoning.v1	Fling: it throws you.
feature:fortify	Close match	effect:courageous	jb2a.condition.boon.01.001.yellow	psfx.conditions.boon.001.01	Fortify: temporary hit points.
feature:freeze	Close match	effect:reduced-movement	jb2a.markers.snowflake.blue.03	psfx.impacts.magicaleffects.cold	Freeze: the cold slows.
feature:frenzied-rush	Close match	effect:hasted	jb2a.token_border.circle.static.orange.004	psfx.impacts.bludgeoning.v1	Frenzied Rush: it charges.
feature:frightening	Close match	effect:frightened	jb2a.markers.fear.dark_purple.03	psfx.impacts.magicaleffects.psychic	Frightening: dread lands on the target.
feature:frightening-gaze	Close match	effect:frightened	jb2a.eyes.01.dark_red.single	psfx.impacts.magicaleffects.psychic	Frightening Gaze: the eye that terrifies.
feature:gibbering	Close match	effect:confused	jb2a.soundwave.01.multicolored01	psfx.incantations.whispers.fem.001.forward.fast.001	Gibbering: the noise muddles everyone near.
feature:gnash	Close match	natural:bite	jb2a.bite.400px.red	psfx.impacts.slashing.v1	Gnash: it bites everything in reach.
feature:grasping-glob	Close match	effect:ensnared	jb2a.liquid.splash.bright_green	psfx.cantrips.acid-splash.v1	Grasping Glob: the glob sticks.
feature:grasping-root	Close match	effect:ensnared	jb2a.vine.loop.elemental.group.01.dark_orange	psfx.casting.earth.001	Grasping Root: the root comes up and takes them.
feature:grave-dust-flight	Close match	effect:lingering-acid	jb2a.smoke.puff.centered.grey	psfx.impacts.magicaleffects.necrotic	Grave Dust Flight: the dust of the grave goes up.
feature:greater-magic-resistance	No proposed FX				A passive trait — no moment to play.
feature:guiding-light	Close match	spell:light	jb2a.markers.light.complete.yellow	psfx.cantrips.light.v1.001	Guiding Light: a light for its allies.
feature:hags-swipe	Close match	natural:claws	jb2a.claws.400px.bright_green	psfx.impacts.slashing.v1	Hag's Swipe: the hag rakes.
feature:hail-of-stone	Close match	spell:shatter	jb2a.falling_rocks.top.2x1.grey	psfx.impacts.bludgeoning.v1	Hail of Stone: stones fall in the cylinder.
feature:hasten	Close match	effect:hasted	jb2a.token_border.circle.static.orange.004	psfx.magic-signs.rune.v1.transmutation.complete	Hasten: it moves faster.
feature:haunted-zone	Close match	effect:frightened	jb2a.template_square.symbol.normal.horror.purple	psfx.impacts.magicaleffects.psychic	Haunted Zone: the square is haunted.
feature:haunting-glare	Close match	effect:frightened	jb2a.eyes.01.dark_purple.single	psfx.impacts.magicaleffects.psychic	Haunting Glare: the eye that follows you.
feature:hellfire-spellcasting	Close match	spell:fireball	jb2a.magic_signs.circle.02.evocation.complete.dark_red	psfx.casting.fire.001	Hellfire Spellcasting: the circle burns.
feature:hellish-restoration	No proposed FX				A passive trait — no moment to play.
feature:hold-breath	No proposed FX				A passive trait — no moment to play.
feature:holy-word	Close match	spell:spiritual-weapon	jb2a.template_circle.out_pulse.01.burst.yellowwhite	psfx.class-features.divine-smite.v1.001.caster	Holy Word: a word that carries light.
feature:horror-nimbus	Close match	effect:frightened	jb2a.template_circle.out_pulse.02.burst.purplepink	psfx.impacts.magicaleffects.psychic	Horror Nimbus: a wave of horror.
feature:hypnotic-gaze	Close match	effect:hypnotized	jb2a.eyes.01.dark_purple.single	psfx.impacts.magicaleffects.psychic	Hypnotic Gaze: the eye that holds you.
feature:ice-walk	No proposed FX				A passive trait — no moment to play.
feature:ice-wall	Close match	spell:cone-of-cold	jb2a.ice_spikes.wall.loop.blue	psfx.5th-level-spells.cone-of-cold.v1.001	Ice Wall: a wall of ice.
feature:illumination	No proposed FX				A passive trait — no moment to play.
feature:illusory-appearance	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Illusory Appearance: it looks like something else.
feature:immutable-form	No proposed FX				A passive trait — no moment to play.
feature:incite-rampage	Close match	effect:rage	jb2a.markers.on_token_mask.loop.01.red	psfx.impacts.magicaleffects.psychic	Incite Rampage: another creature goes for someone.
feature:incorporeal-movement	No proposed FX				A passive trait — no moment to play.
feature:incubus-form	Close match	effect:bark-like-skin	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.transmutation.intro	Incubus Form: it changes shape.
feature:infernal-tail	Close match	natural:tail	jb2a.melee_generic.slashing.two_handed	psfx.weapon-swooshes.necrotic.v1.group01	Infernal Tail: the tail lashes.
feature:inferno-blast	Close match	spell:fireball	jb2a.fireball.explosion.orange	psfx.3rd-level-spells.fireball.v1.001.explosion	Inferno Blast: everything in range burns.
