effect:abjured	Close match	effect:banished	jb2a.magic_signs.circle.02.abjuration.complete.blue	psfx.magic-signs.circle.v1.abjuration.complete	Abjure Foes: the target is driven back.
effect:acid-resistance	Close match	effect:acid-protection	jb2a.shield.01.loop.green	psfx.magic-signs.rune.v1.abjuration.outro	Resistance to acid: the same green shield Acid Protection already plays.
effect:active-attunement	Close match	effect:heated-metal	jb2a.markers.runes.blue.03	psfx.magic-signs.rune.v1.transmutation.intro	Elemental attunement: runes at the monk.
effect:active-attunement-stride	Close match	effect:hasted	jb2a.token_border.circle.static.blue.004	psfx.magic-signs.rune.v1.transmutation.intro	Stride of the Elements: the monk moves on the element.
effect:addled	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.impacts.magicaleffects.psychic	Addled: the stun mark.
effect:aerial	No proposed FX				A summoned companion's form — the summon itself is where an FX belongs.
effect:agonizing-blast	No proposed FX				Extra damage on Eldritch Blast, which already has its own FX.
effect:alacrity	No proposed FX				A passive trait — no moment to play.
effect:ambushers-leap	Close match	effect:hasted	jb2a.token_border.circle.static.orange.004	psfx.magic-signs.rune.v1.transmutation.complete	The ambusher moves first and fast.
effect:aquatic	No proposed FX				A summoned companion's form — the summon itself is where an FX belongs.
effect:aquatic-affinity	No proposed FX				A passive trait — no moment to play.
effect:aspect-of-the-owl	No proposed FX				A passive trait — no moment to play.
effect:aspect-of-the-panther	No proposed FX				A passive trait — no moment to play.
effect:aspect-of-the-salmon	No proposed FX				A passive trait — no moment to play.
effect:assasinate	Close match	effect:outlined	jb2a.sneak_attack.dark_red	psfx.impacts.slashing.v1	Assassinate: the first strike lands hard.
effect:attunement-bonus	No proposed FX				A bonus with no moment of its own.
effect:baited-ac-1	No proposed FX				A bonus to AC from Bait and Switch — no moment to play. All twelve tiers read the same.
effect:baited-ac-10	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-11	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-12	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-2	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-3	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-4	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-5	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-6	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-7	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-8	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:baited-ac-9	No proposed FX				A bonus to AC from Bait and Switch — no moment to play.
effect:battering-roots	Close match	effect:bark-like-skin	jb2a.vine.loop.elemental.group.01.dark_orange	psfx.casting.earth.001	Battering Roots: the staff grows reach.
effect:beguiling-charm	Close match	effect:charmed	jb2a.markers.heart.pink.03	psfx.magic-signs.rune.v1.enchantment.intro	Beguiling Magic: the target is charmed.
effect:beguiling-fear	Close match	effect:frightened	jb2a.markers.fear.dark_purple.03	psfx.magic-signs.rune.v1.enchantment.intro	Beguiling Magic: the target is frightened.
effect:blessing-of-the-trickster	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Blessing of the Trickster: advantage on Stealth.
effect:branches-of-the-tree	Close match	effect:ensnared	jb2a.vine.loop.elemental.group.01.dark_orange	psfx.1st-level-spells.entangle.vines.v1.001.intro	Branches of the Tree: the target is pulled in.
effect:bulwark-of-force	Close match	spell:mage-armor	jb2a.markers.shield.blue.03	psfx.magic-signs.rune.v1.abjuration.intro	Bulwark of Force: half cover for everyone chosen.
effect:clairvoyant-combatant	Close match	effect:foresight	jb2a.eyes.01.bluegreen.single	psfx.magic-signs.rune.v1.divination.intro	Clairvoyant Combatant: the psi warrior reads the target.
effect:cloak-of-shadows	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Cloak of Shadows: the monk steps out of sight.
effect:cold-resistance	Close match	effect:cold-protection	jb2a.shield.01.loop.blue	psfx.magic-signs.rune.v1.abjuration.outro	Resistance to cold: the same blue shield Cold Protection already plays.
effect:concentration-advantage	No proposed FX				A passive trait — no moment to play.
effect:corona-of-light	Close match	effect:shining	jb2a.markers.light.complete.yellow	psfx.class-features.divine-smite.v1.001.caster	Corona of Light: the cleric blazes.
effect:cunning-strike-poisoned	Close match	effect:lingering-acid	jb2a.markers.poison.dark_green.03	psfx.cantrips.poison-spray.v1	Cunning Strike: the target is poisoned.
effect:cunning-strike-tripped	Close match	effect:slowed	jb2a.token_border.circle.static.orange.004	psfx.impacts.bludgeoning.v1	Cunning Strike: the target goes down.
effect:danger-sense	No proposed FX				A passive trait — no moment to play.
effect:dazzling-footwork	No proposed FX				A passive trait — no moment to play.
effect:defy-death	Close match	spell:cure-wounds	jb2a.healing_generic.400px.red	psfx.1st-level-spells.cure-wounds.v1.001	Defy Death: the barbarian gets back up.
effect:devils-sight	No proposed FX				A passive trait — no moment to play.
effect:devious-strikes-blinded	Close match	effect:searing-radiance	jb2a.icon.runes.dark_black	psfx.impacts.slashing.v1	Devious Strikes: the target is blinded.
effect:devious-strikes-dazed	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.impacts.slashing.v1	Devious Strikes: the target is dazed.
effect:devious-strikes-knocked-out	Close match	effect:sleeping	jb2a.sleep.symbol.purple	psfx.impacts.bludgeoning.v1	Devious Strikes: the target is knocked out.
effect:devoted	No proposed FX				A passive trait — no moment to play.
effect:dexterous-attacks--martial-arts-damage	No proposed FX				A passive trait — no moment to play.
effect:diminished-defiance	No proposed FX				A spent use of a feature — no moment to play.
effect:disappearing-step	Close match	spell:misty-step	jb2a.misty_step.01.purple	psfx.2nd-level-spells.misty-step.v1.complete.generic	Disappearing Step: the soulknife blinks away.
effect:disciplined-survivor	No proposed FX				A passive trait — no moment to play.
