effect:antitoxin	Close match	spell:cure-wounds	jb2a.healing_generic.200px.green	psfx.consumables.potions-vials.drink-liquid.001	Antitoxin: advantage against poison for an hour.
effect:caught-in-net	Close match	effect:ensnared	jb2a.web.complete.002.white	psfx.impacts.bludgeoning.v1	Caught in the net.
effect:manacled	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.bludgeoning.v1	Manacled: the irons are on.
effect:trapped	Close match	effect:ensnared	jb2a.spike_trap.05x05ft.side.base.normal.01.01	psfx.impacts.slashing.v1	The hunting trap closes.
effect:tripped	Close match	effect:slowed	jb2a.caltrops.01.grey	psfx.impacts.bludgeoning.v1	Tripped: caltrops or a ball bearing.
item:alchemists-fire	Close match	spell:fireball	jb2a.impact.fire.01.orange	psfx.casting.fire.001	Alchemist's fire: the flask breaks and burns.
item:alchemists-supplies	No proposed FX				A tool kit — no moment at the table.
item:ammunition-varies	No proposed FX				Mundane gear — nothing to play.
item:amulet	No proposed FX				A spellcasting focus. The spell it helps cast is its own FX.
item:antitoxin	Close match	spell:cure-wounds	jb2a.healing_generic.200px.green	psfx.consumables.potions-vials.drink-liquid.001	Antitoxin is drunk.
item:arcane-focus-varies	No proposed FX				A spellcasting focus. The spell it helps cast is its own FX.
item:arrows	No proposed FX				Ammunition. The shot is the bow's FX.
item:backpack	No proposed FX				Mundane gear — nothing to play.
item:bagpipes	Close match	spell:bless	jb2a.music_notations.treble_clef.blue	psfx.musical-instruments.bagpipes.01.drone.keyOfC.C6	Bagpipes played — every instrument gets its own sound.
item:barrel	No proposed FX				Mundane gear — nothing to play.
item:basket	No proposed FX				Mundane gear — nothing to play.
item:bedroll	No proposed FX				Mundane gear — nothing to play.
item:bell	No proposed FX				Mundane gear — nothing to play.
item:blanket	No proposed FX				Mundane gear — nothing to play.
item:block-and-tackle	No proposed FX				Mundane gear — nothing to play.
item:bolts	No proposed FX				Ammunition. The shot is the crossbow's FX.
item:book	No proposed FX				Mundane gear — nothing to play.
item:bottle-glass	No proposed FX				Mundane gear — nothing to play.
item:breastplate	No proposed FX				Worn armour with no activation.
item:brewers-supplies	No proposed FX				A tool kit — no moment at the table.
