effect:acid-boon-of-energy-resistance	Close match	effect:acid-protection	jb2a.shield.01.loop.green	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, acid: the shield in green — all nine types read as the protections.
effect:alert	No proposed FX				A bonus to initiative — no moment to play.
effect:archery-style	No proposed FX				A bonus to ranged attacks — no moment to play.
effect:blind-fighting	No proposed FX				Blindsight — no moment to play.
effect:boon-of-fortitude	Close match	spell:cure-wounds	jb2a.healing_generic.200px.red	psfx.1st-level-spells.cure-wounds.v1.001	Boon of Fortitude: hit points and healing.
effect:boon-of-speed	Close match	effect:hasted	jb2a.token_border.circle.static.orange.004	psfx.magic-signs.rune.v1.transmutation.complete	Boon of Speed: it moves.
effect:boon-of-the-night-spirit	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Boon of the Night Spirit: it goes into shadow.
effect:boon-of-truesight	Close match	effect:foresight	jb2a.eyes.01.dark_yellow.single	psfx.magic-signs.rune.v1.divination.intro	Boon of Truesight: it sees everything.
effect:cold-boon-of-energy-resistance	Close match	effect:cold-protection	jb2a.shield.01.loop.blue	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, cold: the shield in blue.
effect:crushed	Close match	effect:slowed	jb2a.impact.004.orange	psfx.impacts.bludgeoning.v1	Crusher: the target is moved by the blow.
effect:defense	No proposed FX				A bonus to AC — no moment to play.
effect:defensive-duelist	Close match	spell:mage-armor	jb2a.markers.shield.blue.03	psfx.impacts.slashing.v1	Defensive Duelist: the blow is turned aside.
effect:dueling	No proposed FX				A bonus to damage — no moment to play.
effect:durable	Close match	spell:cure-wounds	jb2a.healing_generic.200px.red	psfx.1st-level-spells.cure-wounds.v1.001	Durable: it heals better.
effect:enhanced-dual-wielding	No proposed FX				A passive trait — no moment to play.
effect:fire-boon-of-energy-resistance	Close match	effect:fire-protection	jb2a.shield.01.loop.red	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, fire: the shield in red.
effect:fog-of-war	No proposed FX				A passive trait — no moment to play.
effect:halted	Close match	effect:slowed	jb2a.token_border.circle.static.purple.004	psfx.impacts.slashing.v1	Sentinel: the target's speed is nought.
effect:heavy-armor-master	No proposed FX				A damage reduction — no moment to play.
effect:lightning-boon-of-energy-resistance	Close match	effect:lightning-protection	jb2a.shield.01.loop.yellow	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, lightning: the shield in yellow.
effect:medium-armor-master	No proposed FX				A passive trait — no moment to play.
effect:merged-with-shadows	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Merged with Shadows: it is part of the dark.
effect:necrotic-boon-of-energy-resistance	Close match	effect:acid-protection	jb2a.shield.01.loop.purple	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, necrotic: the shield in violet.
effect:poison-boon-of-energy-resistance	Close match	effect:poison-protection	jb2a.shield.01.loop.green	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, poison: the shield in green.
effect:poisoned-dex	Close match	effect:lingering-acid	jb2a.markers.poison.dark_green.03	psfx.cantrips.poison-spray.v1	Poisoner: the target is poisoned.
effect:poisoned-int	Close match	effect:lingering-acid	jb2a.markers.poison.dark_green.03	psfx.cantrips.poison-spray.v1	Poisoner: the target is poisoned.
effect:psychic-boon-of-energy-resistance	Close match	effect:acid-protection	jb2a.shield.01.loop.purple	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, psychic: the shield in violet.
effect:radiant-boon-of-energy-resistance	Close match	effect:acid-protection	jb2a.shield.01.loop.white	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, radiant: the shield in white.
effect:shield-bashed	Close match	effect:slowed	jb2a.impact.004.blue	psfx.impacts.bludgeoning.v1	Shield Master: the shield puts them down.
effect:skulker	No proposed FX				A passive trait — no moment to play.
effect:slashed	Close match	effect:lingering-acid	jb2a.markers.drop.red.03	psfx.impacts.slashing.v1	Slasher: the cut slows or blinds.
effect:speedy	No proposed FX				A passive trait — no moment to play.
effect:tavern-brawler	Close match	natural:unarmed-strike	jb2a.unarmed_strike.physical.01	psfx.impacts.bludgeoning.v1	Tavern Brawler: the fist lands.
effect:telepathic-utterance	Close match	effect:carrying-message	jb2a.markers.runes.blue.03	psfx.impacts.magicaleffects.psychic	Telepathic: a word sent mind to mind.
effect:thunder-boon-of-energy-resistance	Close match	effect:thunder-protection	jb2a.shield.01.loop.purple	psfx.magic-signs.rune.v1.abjuration.outro	Boon of Energy Resistance, thunder: the shield in violet.
effect:tough	No proposed FX				Extra hit points — no moment to play.
effect:war-caster	No proposed FX				A passive trait — no moment to play.
feature:ability-score-improvement	No proposed FX				An ability score raised — no moment to play.
feature:actor	No proposed FX				A proficiency — no moment to play.
feature:alert	No proposed FX				A bonus to initiative — no moment to play.
feature:archery	No proposed FX				A fighting style — no moment to play.
feature:athlete	No proposed FX				A passive trait — no moment to play.
feature:blessed-warrior	No proposed FX				Cantrips gained — each has its own FX.
feature:blind-fighting	No proposed FX				Blindsight — no moment to play.
feature:boon-of-combat-prowess	Close match	effect:outlined	jb2a.markers.light.complete.yellow	psfx.impacts.slashing.v1	Boon of Combat Prowess: a miss becomes a hit.
