effect:ancient-armor	Close match	spell:mage-armor	jb2a.markers.shield_rampart.loop.02.green	psfx.magic-signs.rune.v1.abjuration.intro	Ancient Armor: old bark and stone close over.
effect:attack-and-save-disadvantage	Close match	effect:frightened	jb2a.markers.fear.dark_purple.03	psfx.impacts.magicaleffects.psychic	The dread reaches everyone near.
effect:avenger-spirit	Close match	spell:magic-missile	jb2a.impact.004.dark_purple	psfx.impacts.magicaleffects.necrotic	The Avenger's spirit strikes — every soul trinket reads by what it was in life.
effect:bloated-size-and-burst	Close match	effect:lingering-acid	jb2a.markers.poison.dark_green.03	psfx.cantrips.poison-spray.v1	Bloated: it will burst.
effect:cursed-path-to-the-grave	Close match	effect:banished	jb2a.condition.curse.01.001.green	psfx.impacts.magicaleffects.necrotic	Path to the Grave: the target is opened to the next blow.
effect:d20-test-advantage	Close match	effect:outlined	jb2a.markers.light.complete.yellow	psfx.magic-signs.rune.v1.divination.intro	The Fortune Teller's spirit steadies a roll.
effect:death-burst-improvement	Close match	spell:raise-dead	jb2a.impact.004.green	psfx.impacts.magicaleffects.necrotic	The reanimated companion bursts when it falls.
effect:escaped-death	No proposed FX				A passive trait — no moment to play.
effect:extrasensory-perception	Close match	effect:alertness	jb2a.particles.swirl.purple.01.01	psfx.impacts.magicaleffects.psychic	Extrasensory Perception: it knows more than it should.
effect:eyes-of-the-dark	Close match	effect:foresight	jb2a.eyes.01.dark_purple.single	psfx.magic-signs.rune.v1.illusion.intro	Eyes of the Dark: it sees in the black.
effect:ferocity-die	No proposed FX				A die added — no moment to play.
effect:form-of-dread	Close match	effect:frightened	jb2a.markers.on_token_mask.loop.01.purple	psfx.impacts.magicaleffects.psychic	Form of Dread: the blood hunter turns into the thing you fear.
effect:form-of-dread-necrotic-husk	Close match	effect:frightened	jb2a.markers.on_token_mask.loop.01.green	psfx.impacts.magicaleffects.necrotic	Form of Dread, necrotic husk.
effect:form-of-superior-dread	Close match	effect:frightened	jb2a.markers.on_token_mask.loop.01.purple	psfx.impacts.magicaleffects.psychic	Form of Superior Dread.
effect:frightened-menacing-aura	Close match	effect:frightened	jb2a.template_circle.aura.01.loop.large.orangepurple	psfx.impacts.magicaleffects.psychic	A menacing aura: everyone near is afraid.
effect:gaunt	No proposed FX				A passive trait — no moment to play.
effect:ghastly-form	Close match	effect:ethereal	jb2a.shimmer.01.green	psfx.impacts.magicaleffects.necrotic	Ghastly Form: it goes half-dead.
effect:ghost-walk	Close match	effect:ethereal	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.conjuration.intro	Ghost Walk: it walks through.
effect:half-cover-spirit-guardians	Close match	spell:mage-armor	jb2a.spirit_guardians.dark_whiteblue.no_ring	psfx.magic-signs.circle.v1.conjuration.loop	The spirits give cover.
effect:hungering-might	No proposed FX				A passive trait — no moment to play.
effect:innate-sorcery-umbral-form	Close match	effect:ethereal	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Umbral Form: it goes to shadow.
effect:intrusive-echoes-incapacitated	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.incantations.whispers.fem.001.forward.slow.001	Intrusive Echoes: the voices stop it.
effect:involuntary-change-stunned	Close match	effect:stunned	jb2a.markers.stun.dark_teal.03	psfx.magic-signs.rune.v1.transmutation.intro	Involuntary Change: the flesh moves on its own.
effect:life-essence	Close match	spell:raise-dead	jb2a.energy_strands.range.multiple.bluepink.02.30ft	psfx.impacts.magicaleffects.necrotic	A soul trinket is spent: the life goes across.
effect:moist	No proposed FX				A passive trait — no moment to play.
effect:ominous-strikes	Close match	effect:regenerating	jb2a.markers.skull.dark_green.03	psfx.impacts.magicaleffects.necrotic	Ominous Strikes: the blow feeds the striker.
effect:ominous-will-incapacitated	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.impacts.magicaleffects.psychic	Ominous Will: it takes hold.
effect:paranoia	Close match	effect:frightened	jb2a.markers.horror.purple.03	psfx.impacts.magicaleffects.psychic	Paranoia: it will not settle.
effect:pull-of-the-grave	Close match	effect:banished	jb2a.markers.skull.dark_green.03	psfx.impacts.magicaleffects.necrotic	Pull of the Grave: the grave wants it back.
effect:remote-viewing-incapacitated	Close match	effect:foresight	jb2a.eyes.01.dark_purple.single	psfx.magic-signs.rune.v1.divination.intro	Remote Viewing: the body is left behind.
effect:spider-climb-hands-free	No proposed FX				A passive trait — no moment to play.
effect:strengthened-attack-or-check	Close match	effect:courageous	jb2a.condition.boon.01.001.red	psfx.conditions.boon.001.01	Vampiric Bite: the drinker is stronger for it.
