natural:arcane-tentacles	Close match	natural:tentacle	jb2a.black_tentacles.dark_purple	psfx.impacts.magicaleffects.psychic	The arcanist's tentacles take hold.
natural:attach	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.slashing.v1	The cloaker wraps around you.
natural:bite-bat-or-vampire-form-only	Close match	natural:bite	jb2a.bite.400px.red	psfx.impacts.magicaleffects.necrotic	The vampire bites.
natural:bite-bear-or-hybrid-form-only	Close match	natural:bite	jb2a.bite.400px.orange	psfx.impacts.slashing.v1	The werebear bites.
natural:bite-rat-or-hybrid-form-only	Close match	natural:bite	jb2a.bite.200px.grey	psfx.impacts.slashing.v1	The wererat bites.
natural:bite-tiger-or-hybrid-form-only	Close match	natural:bite	jb2a.bite.400px.orange	psfx.impacts.slashing.v1	The weretiger bites.
natural:bite-wolf-or-hybrid-form-only	Close match	natural:bite	jb2a.bite.400px.grey	psfx.impacts.slashing.v1	The werewolf bites.
natural:bites	Close match	natural:bite	jb2a.bite.200px.grey	psfx.impacts.slashing.v1	The swarm of bats bites.
natural:bladed-arm	Close match	weapon:longsword	jb2a.melee_generic.slashing.one_handed	psfx.impacts.slashing.v1	The iron golem's blade comes round.
natural:bone-cudgel	Close match	weapon:club	jb2a.melee_attack.02.club.01	psfx.impacts.bludgeoning.v1	The grimlock swings its cudgel.
natural:branch	Close match	natural:slam	jb2a.vine.loop.elemental.group.01.dark_orange	psfx.impacts.bludgeoning.v1	The tree blight swings a branch.
natural:channel-negative-energy	Close match	spell:raise-dead	jb2a.energy_beam.normal.bluepink.02.30ft	psfx.impacts.magicaleffects.necrotic	The mummy lord pours the grave into you.
natural:charged-tendril	Close match	natural:tentacle	jb2a.static_electricity.01.blue	psfx.weapon-swooshes.lightning.v1.group01	The shambling mound's tendril crackles.
natural:chromatic-spittle	Close match	spell:acid-arrow	jb2a.liquid.splash.bright_green	psfx.cantrips.acid-splash.v1	The winged kobold spits.
natural:conjure-slimy-glob	Close match	effect:ensnared	jb2a.liquid.splash.bright_green	psfx.cantrips.acid-splash.v1	The kuo-toa whip throws a glob.
natural:constricting-vine	Close match	effect:ensnared	jb2a.vine.loop.elemental.group.01.dark_orange	psfx.1st-level-spells.entangle.vines.v1.001.intro	The vine blight squeezes.
natural:corrupting-touch	Close match	natural:slam	jb2a.impact.004.dark_purple	psfx.impacts.magicaleffects.necrotic	The banshee's touch corrupts.
natural:cursed-touch	Close match	natural:slam	jb2a.impact.004.dark_purple	psfx.impacts.magicaleffects.psychic	The rakshasa's touch curses.
natural:deathly-ray	Close match	spell:magic-missile	jb2a.spell_projectile.skull.pinkpurple.30ft	psfx.impacts.magicaleffects.necrotic	The cultist throws a ray of death.
natural:divine-ray	Close match	spell:guiding-bolt	jb2a.guiding_bolt.01.yellow	psfx.class-features.divine-smite.v1.001.target	The empyrean throws a ray of light.
natural:draining-swipe	Close match	natural:claws	jb2a.claws.400px.bright_purple	psfx.impacts.magicaleffects.necrotic	The shadow's swipe drains.
natural:fiendish-touch	Close match	natural:slam	jb2a.impact.004.dark_purple	psfx.impacts.magicaleffects.psychic	The succubus touches.
natural:flame-scepter	Close match	spell:magic-missile	jb2a.fire_bolt.orange	psfx.casting.fire.001	The flaming skeleton points and fire goes out.
natural:flash-of-light	Close match	effect:searing-radiance	jb2a.markers.light.complete.yellow	psfx.class-features.divine-smite.v1.001.target	The cyclops oracle's eye flashes.
natural:gears-launcher	Close match	weapon:heavycrossbow	jb2a.bullet.01	psfx.ambient.tools.gears.001	The quadrone fires its gears.
natural:grab	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.bludgeoning.v1	The bugbear grabs you.
natural:hammer-throw	Close match	weapon:warhammer	jb2a.hammer.throw.30ft	psfx.weapon-swooshes.fire.v1.group01	The fire giant throws its hammer.
natural:horrific-necrosis	Close match	natural:claws	jb2a.claws.400px.bright_green	psfx.impacts.magicaleffects.necrotic	The gravecaller's touch rots.
natural:icy-bite	Close match	natural:bite	jb2a.bite.400px.blue	psfx.impacts.magicaleffects.cold	The lacedon's bite is cold.
natural:necrotic-ray	Close match	spell:magic-missile	jb2a.spell_projectile.skull.pinkpurple.30ft	psfx.impacts.magicaleffects.necrotic	The spirit naga throws a ray.
natural:paralyzing-tentacles	Close match	natural:tentacle	jb2a.black_tentacles.dark_purple	psfx.impacts.magicaleffects.psychic	The grell's tentacles hold you.
natural:paralyzing-touch	Close match	natural:slam	jb2a.impact.004.dark_purple	psfx.impacts.magicaleffects.necrotic	The lich's touch stops you.
natural:petrifying-bite	Close match	natural:bite	jb2a.bite.200px.grey	psfx.casting.earth.001	The cockatrice bites and the flesh sets.
natural:prance	Close match	effect:hasted	jb2a.markers.music.pink	psfx.musical-instruments.flute.01.long.keyOfA.A6	The satyr prances in.
natural:psychic-warp	Close match	spell:magic-missile	jb2a.impact_themed.skull.pinkpurple	psfx.impacts.magicaleffects.psychic	The psion warps the space round you.
natural:restless-touch	Close match	natural:slam	jb2a.impact.004.dark_purple	psfx.impacts.magicaleffects.psychic	The incubus touches.
natural:rotting-touch	Close match	natural:slam	jb2a.impact.004.green	psfx.impacts.magicaleffects.necrotic	The violet fungus rots what it touches.
natural:shred	Close match	natural:claws	jb2a.claws.400px.bright_green	psfx.impacts.slashing.v1	The vrock shreds.
natural:smother	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.bludgeoning.v1	The rug of smothering wraps you.
natural:spectral-jaws	Close match	natural:bite	jb2a.bite.400px.blue	psfx.impacts.magicaleffects.psychic	The sahuagin priest's spectral jaws close.
natural:strange-scepter	Close match	spell:magic-missile	jb2a.energy_beam.normal.bluegreen.01.30ft	psfx.impacts.magicaleffects.psychic	The archpriest points its scepter.
natural:suffocate	Close match	effect:ensnared	jb2a.markers.chain.diamond.loop.01.grey	psfx.impacts.magicaleffects.necrotic	The revenant chokes you.
natural:sun-ray	Close match	spell:guiding-bolt	jb2a.guiding_bolt.01.yellow	psfx.class-features.divine-smite.v1.001.target	The centaur warden throws a ray of sun.
natural:swarm-of-grasping-hands	Close match	natural:claws	jb2a.claws.200px.brown	psfx.impacts.slashing.v1	The crawling claws grab.
natural:swarm-of-proboscises	Close match	natural:bite	jb2a.bite.200px.red	psfx.impacts.slashing.v1	The stirges drink.
natural:tail-spine	Close match	natural:sting	jb2a.melee_generic.piercing.one_handed	psfx.impacts.slashing.v1	The spined devil's tail spine goes in.
natural:tentacles	Close match	natural:tentacle	jb2a.black_tentacles.dark_purple	psfx.impacts.bludgeoning.v1	The giant octopus takes you.
natural:thorn-volley	Close match	weapon:longbow	jb2a.arrow.physical.white.01	psfx.ranged-weapons.longbow.v1	The gulthias blight throws thorns.
natural:thrash	Close match	natural:slam	jb2a.impact.004.orange	psfx.impacts.bludgeoning.v1	The barlgura thrashes.
natural:tormenting-bite	Close match	natural:bite	jb2a.bite.400px.red	psfx.impacts.slashing.v1	The barlgura bites.
natural:verdant-wisp	Close match	spell:magic-missile	jb2a.spell_projectile.earth.01.browngreen.30ft	psfx.casting.earth.001	The druid throws a verdant wisp.
natural:vile-slime	Close match	spell:acid-arrow	jb2a.liquid.splash.bright_green	psfx.cantrips.acid-splash.v1	The lemure's slime lands.
natural:wind-swipe	Close match	natural:slam	jb2a.wind_stream.400.white	psfx.cantrips.gust.v1	The invisible stalker strikes with wind.
